word,df
aa,6
aaa,10
aaf,2
aag,1
aarc,1
aarhu,1
aaron,11
aaronson,1
aarp,2
ab,9
aba,3
abandon,3
abat,2
abbei,4
abbevil,1
abbi,1
abbot,1
abbotsford,2
abbott,4
abbrevi,2
abc,3
abd,1
abdomen,1
abdomin,3
abduct,1
abdul,1
abel,1
aberdar,1
aberdeen,4
aberdeenshir,1
abi,1
abigail,2
abil,76
abl,1
abn,1
abnorm,2
aboard,10
abolit,2
abolitionist,1
abort,2
abound,3
abraham,3
abram,1
abras,9
abreast,2
abri,1
abrupt,1
abscess,1
abseil,1
absenc,12
absent,1
absente,3
absit,1
absolut,10
absoluteli,31
absorb,9
abstract,5
absurd,1
abt,1
abu,7
abund,18
abus,26
abuzz,1
abyss,1
ac,32
acacia,1
academ,74
academi,85
academia,1
acbl,7
acc,5
acca,1
acced,1
acceler,19
acceleromet,1
accent,5
accentu,1
accept,123
access,443
accessori,107
accid,54
accident,9
acclaim,6
accolad,10
accommod,198
accompani,8
accomplish,19
accord,7
account,402
accredit,78
accrington,1
accru,2
acct,1
accumul,7
accur,43
accuraci,13
accurateli,6
accus,6
accustom,1
acetabular,1
ach,13
achiev,206
achil,1
aci,1
acid,3
ackerman,1
acknowledg,13
acl,5
acm,1
acn,5
acol,1
acolyt,1
acorn,7
acquaint,1
acquir,19
acquisit,28
acquitt,1
acr,49
acrobat,13
acronym,2
acrophobia,1
acropoli,1
acryl,5
act,19
acti,1
action,115
activ,363
activeli,15
actor,11
actress,3
actual,10
actuari,4
acu,1
acuerdo,1
acuiti,1
acumen,4
acupressur,2
acupunctur,11
acupuncturist,1
acut,10
ad,45
ada,16
adam,17
adamsvil,1
adapt,35
add,117
addam,3
addendum,1
addict,14
addison,2
addit,170
addition,16
address,204
adelaid,8
adelphia,1
adequ,3
adequateli,2
adher,8
adhes,6
adi,5
adib,1
adipos,1
adirondack,1
adjac,12
adjoin,4
adjunct,1
adjust,44
adler,1
admin,45
administ,6
administr,107
admir,10
admiss,35
admit,7
admittedli,1
ado,1
adob,12
adolesc,12
adolphu,1
adopt,14
ador,9
adorn,5
adp,2
adren,2
adrenalin,4
adrian,4
adriana,6
adt,1
adult,165
adulteri,1
adulthood,3
adv,1
advanc,217
advantag,55
advent,1
adventur,229
advers,5
adversari,1
adverseli,3
advert,2
advertis,83
advic,242
advis,82
advisor,77
advisori,44
advoc,38
advocaci,45
ae,2
aea,3
aec,2
aegi,2
aenean,1
aer,1
aerial,7
aero,3
aerob,3
aerojet,1
aerolit,1
aeroplan,1
aerosol,2
aerospac,12
aesop,1
aesthet,22
aetna,2
afar,1
afb,1
afc,4
affabl,1
affair,19
affect,29
affectionateli,1
affidavit,1
affili,67
affin,6
affirm,7
afford,108
afghan,1
afghanistan,6
afi,1
afield,3
afl,3
afloat,1
afraid,6
africa,31
african,20
afrikaan,1
afro,1
aft,1
after,4
aftercar,7
aftermarket,1
aftermath,2
afternoon,33
afterschool,3
ag,180
aga,2
agamemnon,1
agar,1
agarw,1
agav,1
agen,1
agenc,70
agenda,20
agent,53
aggi,1
aggrav,4
aggreg,10
aggress,9
aggressiveli,3
agil,13
agl,1
agm,12
agn,3
agnew,1
agni,1
agnost,1
agre,60
agreement,52
agribusi,1
agricultur,16
agua,1
aguilar,1
agust,1
ah,1
aha,1
ahl,1
ahm,1
ahmad,1
ahmadi,1
ahmedabad,2
ahoi,1
aht,1
ai,24
aic,1
aid,90
aider,2
ail,1
ailment,2
aim,97
ain,1
ainslei,1
ainsworth,2
aion,1
air,103
aira,1
airbag,1
airboat,1
airborn,2
airbrush,1
aircraft,11
airdri,2
airfar,4
airfield,2
airflow,2
airi,1
airlin,8
airpark,1
airplan,2
airport,47
airstream,1
airwai,7
airworthi,1
aisha,1
aisl,2
ait,1
aj,2
ajax,2
ak,68
aka,7
akan,1
akc,2
akiachak,1
akiak,1
akin,2
akira,1
akron,1
al,3
ala,4
alabama,77
alabast,3
alameda,1
alamo,1
alan,9
alarm,12
alaska,200
alaskan,90
alastor,1
alba,2
albani,1
albania,2
albanian,1
alber,1
albert,4
alberta,4
albion,4
album,14
alchem,1
alchemi,1
alchemist,1
alcibiad,1
alcohol,14
alcov,2
alda,1
alder,2
aldernei,1
aldershot,1
alderson,1
alekhin,1
aleknagik,2
alen,1
aleph,1
alert,69
alessandro,1
aleut,1
aleutian,3
alex,17
alexa,2
alexand,13
alexandra,2
alexi,9
alfa,1
alfi,1
alfonso,1
alfr,2
alfredo,1
algebra,2
algeria,2
algerian,3
algorithm,3
ali,9
alia,1
alic,7
alicant,1
alicevil,1
alien,6
align,49
alik,28
alisha,1
alison,3
alistair,1
aliv,7
alkal,1
alkalin,1
all,2
allah,1
allai,1
allan,3
allegedli,1
allegi,2
allegori,1
allegro,1
allei,7
allen,9
allentown,1
allergi,6
